,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
455,4697070,Chamberí,Gaztambide,40.43834,-3.71182,Entire home/apt,105,4,50,0.64,1,244
456,2646146,Salamanca,Lista,40.43008,-3.67193,Private room,38,1,4,0.06,7,360
457,2646146,Salamanca,Lista,40.43047,-3.67194,Hotel room,50,1,11,0.17,7,342
458,2991670,Salamanca,Guindalera,40.43464,-3.6717,Private room,19,2,60,0.94,11,109
459,2991670,Salamanca,Guindalera,40.43393,-3.66991,Private room,19,1,62,0.78,11,201
460,4710774,Centro,Universidad,40.42452,-3.7042,Entire home/apt,90,3,300,3.81,6,82
461,4665174,Centro,Embajadores,40.41006,-3.69903,Entire home/apt,69,14,136,1.7,1,152
462,4735460,Salamanca,Recoletos,40.42306,-3.68672,Hotel room,61,15,2,0.08,18,222
463,4739098,Centro,Justicia,40.42719,-3.69986,Entire home/apt,80,2,6,0.08,1,0
464,4740276,Carabanchel,Comillas,40.39465,-3.70818,Entire home/apt,60,1,137,2.26,1,350
465,1467260,Latina,Puerta del Angel,40.41029,-3.73007,Entire home/apt,39,5,58,0.82,1,123
466,4735460,Salamanca,Recoletos,40.42228,-3.68802,Hotel room,75,15,2,0.08,18,190
467,4735460,Salamanca,Recoletos,40.42142,-3.68721,Hotel room,61,15,0,0.0,18,208
468,4735460,Centro,Cortes,40.41428,-3.70291,Private room,200,1,1,0.2,18,362
469,4735460,Centro,Cortes,40.41426,-3.70151,Private room,221,1,1,0.01,18,365
470,4735460,Salamanca,Recoletos,40.42155,-3.68821,Hotel room,75,15,0,0.0,18,0
471,4735460,Salamanca,Recoletos,40.42211,-3.6873,Hotel room,61,15,2,0.09,18,254
472,4762305,Centro,Justicia,40.42342,-3.69841,Entire home/apt,72,1,283,3.59,1,110
473,4777959,Chamartín,Castilla,40.47115,-3.68601,Entire home/apt,55,2,47,0.59,4,324
474,4778528,Arganzuela,Legazpi,40.38596,-3.68654,Private room,19,2,6,0.08,1,262
475,266650,Retiro,Pacífico,40.40409,-3.67429,Entire home/apt,120,25,8,0.1,1,201
476,1331093,Centro,Palacio,40.41846,-3.71208,Entire home/apt,120,3,83,1.26,2,327
477,4819459,Barajas,Alameda de Osuna,40.45251,-3.59327,Private room,30,1,23,0.38,1,183
478,4826927,Centro,Embajadores,40.41172,-3.70347,Entire home/apt,50,2,66,0.92,1,3
479,4831338,Centro,Embajadores,40.40854,-3.69879,Entire home/apt,49,29,71,0.89,2,357
480,4839888,Centro,Sol,40.42013,-3.70589,Entire home/apt,135,2,287,3.63,10,319
481,4839888,Centro,Sol,40.41871,-3.70505,Entire home/apt,89,2,295,3.81,10,286
482,4839888,Centro,Palacio,40.42116,-3.70725,Entire home/apt,132,2,262,3.39,10,293
483,4860266,Centro,Cortes,40.41436,-3.6996,Entire home/apt,90,4,143,1.8,1,51
484,4903694,Centro,Universidad,40.42206,-3.70492,Private room,35,1,13,0.25,3,0
485,4905854,Puente de Vallecas,Palomeras Sureste,40.38847,-3.64333,Private room,20,1,20,0.38,1,306
486,4651429,Salamanca,Recoletos,40.42687,-3.68585,Entire home/apt,60,2,67,0.86,2,42
487,1574604,Centro,Universidad,40.4211,-3.7027,Entire home/apt,130,3,116,1.57,1,0
488,4967875,Retiro,Ibiza,40.41828,-3.67581,Entire home/apt,94,2,11,0.15,10,335
489,4974280,Arganzuela,Palos de Moguer,40.40509,-3.69524,Entire home/apt,80,13,58,0.73,1,306
490,1714750,Centro,Sol,40.41734,-3.70402,Entire home/apt,120,3,158,2.01,2,0
491,4975799,Centro,Sol,40.4157,-3.7037,Private room,45,2,405,5.19,11,148
492,4977367,Centro,Universidad,40.42434,-3.70109,Entire home/apt,68,1,131,1.66,3,183
493,2864064,Centro,Cortes,40.41131,-3.69631,Entire home/apt,66,1,368,4.6,23,149
494,5031865,Arganzuela,Palos de Moguer,40.40512,-3.69263,Entire home/apt,120,2,82,1.05,6,50
495,5052379,Centro,Palacio,40.41949,-3.71216,Entire home/apt,150,3,36,0.46,1,195
496,9228673,Salamanca,Recoletos,40.42711,-3.68363,Entire home/apt,220,5,14,0.19,17,225
497,5084073,Arganzuela,Palos de Moguer,40.40223,-3.69986,Entire home/apt,73,5,83,1.06,1,191
498,5114074,Centro,Sol,40.41548,-3.70513,Entire home/apt,72,3,239,3.03,1,46
499,850654,Centro,Universidad,40.42454,-3.70464,Private room,37,2,3,0.07,4,359
500,1738341,Centro,Embajadores,40.40829,-3.70155,Entire home/apt,105,1,68,1.16,2,324
501,5132742,Centro,Embajadores,40.41326,-3.7066,Entire home/apt,48,3,202,2.56,1,215
502,4722486,Centro,Universidad,40.42618,-3.70203,Entire home/apt,95,1,236,3.13,5,281
503,2783896,Latina,Puerta del Angel,40.40699,-3.74025,Private room,26,2,189,2.41,2,55
504,1425071,Chamberí,Gaztambide,40.43125,-3.71374,Entire home/apt,82,3,109,1.4,5,0
505,5198285,Latina,Lucero,40.4004,-3.74558,Entire home/apt,70,3,29,0.4,1,349
506,5211661,Centro,Universidad,40.42763,-3.70682,Entire home/apt,59,2,262,3.33,1,277
507,2483139,Centro,Sol,40.41527,-3.70704,Entire home/apt,79,2,25,0.34,1,188
508,1647109,Chamberí,Trafalgar,40.42967,-3.70134,Entire home/apt,90,3,135,1.84,9,271
509,5302455,Retiro,Jerónimos,40.41826,-3.69021,Entire home/apt,350,5,79,1.0,1,266
510,6363695,Centro,Universidad,40.42515,-3.71138,Shared room,40,3,15,0.28,2,0
511,5347216,Centro,Embajadores,40.40773,-3.69466,Private room,25,2,9,0.12,2,30
512,5360317,Chamberí,Trafalgar,40.43348,-3.70365,Private room,35,1,1,0.02,1,260
513,534128,Centro,Justicia,40.42688,-3.70002,Entire home/apt,185,3,7,0.09,12,100
514,534128,Chamberí,Trafalgar,40.43015,-3.70194,Entire home/apt,60,30,1,0.04,12,341
515,534128,Chamberí,Trafalgar,40.43184,-3.70139,Entire home/apt,205,3,16,0.2,12,321
516,5386601,Puente de Vallecas,Numancia,40.40135,-3.6634,Private room,27,4,19,0.25,1,79
517,5389129,Tetuán,Cuatro Caminos,40.45298,-3.69343,Entire home/apt,60,1,308,3.92,1,304
518,4839698,Centro,Embajadores,40.41315,-3.70307,Entire home/apt,65,3,19,0.24,1,0
519,1714541,Ciudad Lineal,Ventas,40.42116,-3.65296,Entire home/apt,55,1,136,1.73,9,0
520,2561320,Centro,Embajadores,40.41147,-3.69875,Entire home/apt,90,2,239,3.03,9,292
521,3585435,Ciudad Lineal,San Juan Bautista,40.4482,-3.66119,Entire home/apt,198,300,0,0.0,1,365
522,5343904,Centro,Cortes,40.41134,-3.69581,Private room,44,2,82,2.86,1,324
523,5516172,Fuencarral - El Pardo,La Paz,40.47945,-3.69998,Private room,18,7,30,0.41,1,244
524,1130651,Centro,Embajadores,40.41183,-3.70539,Entire home/apt,70,2,366,4.64,2,334
525,5521269,Centro,Embajadores,40.40818,-3.70896,Entire home/apt,85,4,237,3.24,1,63
526,5528551,Centro,Justicia,40.42174,-3.69865,Entire home/apt,69,3,157,2.02,1,308
527,5542111,Centro,Universidad,40.42477,-3.70149,Entire home/apt,74,1,281,3.58,62,314
528,5577429,Arganzuela,Palos de Moguer,40.40475,-3.69409,Private room,33,2,9,0.12,1,261
529,4361819,Centro,Embajadores,40.41047,-3.70338,Private room,37,2,95,1.21,3,317
530,5606144,Hortaleza,Valdefuentes,40.48822,-3.65639,Private room,30,2,5,0.07,1,356
531,5618733,Chamberí,Gaztambide,40.43276,-3.71409,Private room,30,4,41,0.85,1,352
532,5649948,Chamberí,Gaztambide,40.4367,-3.7153,Private room,30,7,0,0.0,2,16
533,5712665,Centro,Palacio,40.41279,-3.71222,Entire home/apt,80,100,43,0.71,1,90
534,5719307,Centro,Sol,40.41699,-3.70657,Entire home/apt,65,2,397,5.06,1,32
535,5722524,Barajas,Casco Histórico de Barajas,40.47606,-3.57618,Entire home/apt,42,7,2,0.07,1,201
536,4967875,Retiro,Ibiza,40.41798,-3.67604,Entire home/apt,94,2,9,0.12,10,326
537,5751753,Moncloa - Aravaca,Ciudad Universitaria,40.46493,-3.75068,Private room,85,2,0,0.0,1,0
